完整单词库 (共 6000 词)
============================================================

[   0] solar irradiance | 太阳辐照度 | 新能源 | 难度★★★
[3619] active balancing diagnosis | active balancingdiagnosis | 储能 | 难度★★
[3620] active balancing prognosis | active balancingprognosis | 储能 | 难度★★
[3621] active balancing testing | active balancingtesting | 储能 | 难度★★
[3622] active balancing verification | active balancingverification | 储能 | 难度★★
[3623] top balancing modeling | top balancingmodeling | 储能 | 难度★★
[3624] top balancing simulation | top balancingsimulation | 储能 | 难度★★
[3625] top balancing estimation | top balancingestimation | 储能 | 难度★★
[3626] top balancing prediction | top balancingprediction | 储能 | 难度★★
[3627] top balancing analysis | top balancinganalysis | 储能 | 难度★★
[3628] top balancing optimization | top balancingoptimization | 储能 | 难度★★
[3629] top balancing diagnosis | top balancingdiagnosis | 储能 | 难度★★
[3630] top balancing prognosis | top balancingprognosis | 储能 | 难度★★
[3631] top balancing design | top balancingdesign | 储能 | 难度★★
[3632] top balancing development | top balancingdevelopment | 储能 | 难度★★
[3633] top balancing validation | top balancingvalidation | 储能 | 难度★★
[3634] state of charge estimation modeling | state of charge estimationmodeling | 储能 | 难度★★
[3635] state of charge estimation simulation | state of charge estimationsimulation | 储能 | 难度★★
[3636] state of charge estimation prediction | state of charge estimationprediction | 储能 | 难度★★
[3637] state of charge estimation analysis | state of charge estimationanalysis | 储能 | 难度★★
[3638] state of charge estimation optimization | state of charge estimationoptimization | 储能 | 难度★★
[3639] state of charge estimation control | state of charge estimationcontrol | 储能 | 难度★★
[3640] state of charge estimation monitoring | state of charge estimationmonitoring | 储能 | 难度★★
[3641] state of charge estimation diagnosis | state of charge estimationdiagnosis | 储能 | 难度★★
[3642] state of charge estimation prognosis | state of charge estimationprognosis | 储能 | 难度★★
[3643] state of charge estimation design | state of charge estimationdesign | 储能 | 难度★★
[3644] state of charge estimation development | state of charge estimationdevelopment | 储能 | 难度★★
[3645] state of charge estimation testing | state of charge estimationtesting | 储能 | 难度★★
[3646] state of health estimation modeling | state of health estimationmodeling | 储能 | 难度★★
[3647] state of health estimation simulation | state of health estimationsimulation | 储能 | 难度★★
[3648] state of health estimation estimation | state of health estimationestimation | 储能 | 难度★★
[3649] state of health estimation control | state of health estimationcontrol | 储能 | 难度★★
[3650] state of health estimation monitoring | state of health estimationmonitoring | 储能 | 难度★★
[3651] state of health estimation diagnosis | state of health estimationdiagnosis | 储能 | 难度★★
[3652] state of health estimation prognosis | state of health estimationprognosis | 储能 | 难度★★
[3653] state of health estimation design | state of health estimationdesign | 储能 | 难度★★
[3654] state of health estimation testing | state of health estimationtesting | 储能 | 难度★★
[3655] state of health estimation validation | state of health estimationvalidation | 储能 | 难度★★
[3656] remaining useful life simulation | remaining useful lifesimulation | 储能 | 难度★★
[3657] remaining useful life prediction | remaining useful lifeprediction | 储能 | 难度★★
[3658] remaining useful life analysis | remaining useful lifeanalysis | 储能 | 难度★★
[3659] remaining useful life optimization | remaining useful lifeoptimization | 储能 | 难度★★
[3660] remaining useful life prognosis | remaining useful lifeprognosis | 储能 | 难度★★
[3661] remaining useful life design | remaining useful lifedesign | 储能 | 难度★★
[3662] remaining useful life development | remaining useful lifedevelopment | 储能 | 难度★★
[3663] remaining useful life testing | remaining useful lifetesting | 储能 | 难度★★
[3664] remaining useful life validation | remaining useful lifevalidation | 储能 | 难度★★
[3665] remaining useful life verification | remaining useful lifeverification | 储能 | 难度★★
[3666] end of life criteria modeling | end of life criteriamodeling | 储能 | 难度★★
[3667] end of life criteria simulation | end of life criteriasimulation | 储能 | 难度★★
[3668] end of life criteria estimation | end of life criteriaestimation | 储能 | 难度★★
[3669] end of life criteria prediction | end of life criteriaprediction | 储能 | 难度★★
[3670] end of life criteria optimization | end of life criteriaoptimization | 储能 | 难度★★
[3671] end of life criteria monitoring | end of life criteriamonitoring | 储能 | 难度★★
[3672] end of life criteria diagnosis | end of life criteriadiagnosis | 储能 | 难度★★
[3673] end of life criteria prognosis | end of life criteriaprognosis | 储能 | 难度★★
[3674] end of life criteria development | end of life criteriadevelopment | 储能 | 难度★★
[3675] end of life criteria validation | end of life criteriavalidation | 储能 | 难度★★
[3676] end of life criteria verification | end of life criteriaverification | 储能 | 难度★★
[3677] battery management simulation | battery managementsimulation | 储能 | 难度★★
[3678] battery management prediction | battery managementprediction | 储能 | 难度★★
[3679] battery management analysis | battery managementanalysis | 储能 | 难度★★
[3680] battery management control | battery managementcontrol | 储能 | 难度★★
[3681] battery management monitoring | battery managementmonitoring | 储能 | 难度★★
[3682] battery management development | battery managementdevelopment | 储能 | 难度★★
[3683] battery management testing | battery managementtesting | 储能 | 难度★★
[3684] thermal management estimation | thermal managementestimation | 储能 | 难度★★
[3685] thermal management prediction | thermal managementprediction | 储能 | 难度★★
[3686] thermal management analysis | thermal managementanalysis | 储能 | 难度★★
[3687] thermal management diagnosis | thermal managementdiagnosis | 储能 | 难度★★
[3688] thermal management development | thermal managementdevelopment | 储能 | 难度★★
[3689] safety management modeling | safety managementmodeling | 储能 | 难度★★
[3690] safety management simulation | safety managementsimulation | 储能 | 难度★★
[3691] safety management estimation | safety managementestimation | 储能 | 难度★★
[3692] safety management prediction | safety managementprediction | 储能 | 难度★★
[3693] safety management analysis | safety managementanalysis | 储能 | 难度★★
[3694] safety management optimization | safety managementoptimization | 储能 | 难度★★
[3695] safety management monitoring | safety managementmonitoring | 储能 | 难度★★
[3696] safety management prognosis | safety managementprognosis | 储能 | 难度★★
[3697] safety management design | safety managementdesign | 储能 | 难度★★
[3698] safety management validation | safety managementvalidation | 储能 | 难度★★
[3699] safety management verification | safety managementverification | 储能 | 难度★★
[3700] competitive advantage | 竞争优势 | 销售经理口语 | 难度★★
[3701] target audience | 目标客户群 | 销售经理口语 | 难度★★
[3702] buyer persona | 买家画像 | 销售经理口语 | 难度★★★
[3703] tender evaluation | 评标 | 销售经理口语 | 难度★★★
[3704] hurdle rate | 最低期望回报率 | 销售经理口语 | 难度★★★
[3705] weighted average cost of capital | 加权平均资本成本 | 销售经理口语 | 难度★★★
[3706] discounted cash flow | 贴现现金流 | 销售经理口语 | 难度★★★
[3707] scenario analysis | 情景分析 | 销售经理口语 | 难度★★★
[3708] margin analysis | 利润分析 | 销售经理口语 | 难度★★
[3709] operating margin | 营业利润率 | 销售经理口语 | 难度★★
[3710] contribution margin | 边际贡献 | 销售经理口语 | 难度★★★
[3711] volume discount | 批量折扣 | 销售经理口语 | 难度★★
[3712] pricing strategy | 定价策略 | 销售经理口语 | 难度★★
[3713] value-based pricing | 价值定价 | 销售经理口语 | 难度★★★
[3714] penetration pricing | 渗透定价 | 销售经理口语 | 难度★★★
[3715] skimming pricing | 撇脂定价 | 销售经理口语 | 难度★★★
[3716] dynamic pricing | 动态定价 | 销售经理口语 | 难度★★★
[3717] price anchoring | 价格锚定 | 销售经理口语 | 难度★★★
[3718] upselling | 向上销售 | 销售经理口语 | 难度★★
[3719] closing technique | 成交技巧 | 销售经理口语 | 难度★★
[3720] trial close | 试探性成交 | 销售经理口语 | 难度★★★
[3721] assumptive close | 假定成交 | 销售经理口语 | 难度★★★
[3722] alternative close | 选择成交 | 销售经理口语 | 难度★★★
[3723] urgency close | 紧迫成交 | 销售经理口语 | 难度★★★
[3724] summary close | 总结成交 | 销售经理口语 | 难度★★★
[3725] advance payment guarantee | 预付款保函 | 销售经理口语 | 难度★★★
[3726] retention money | 质保金 | 销售经理口语 | 难度★★★
[3727] sales order | 销售订单 | 销售经理口语 | 难度★
[3728] air waybill | 空运单 | 销售经理口语 | 难度★★★
[3729] certificate of origin | 原产地证书 | 销售经理口语 | 难度★★★
